train,test,nll,pos,rot
45.793491861538556,-30.66012874963608,38.087466799935626,58.7748048978046,1.7040822395058566
-11.563246256545343,-39.70332395005555,-17.636797927146734,48.69529529211323,1.0969508401183194
-24.22330090032691,-50.05604793998731,-29.82651289119277,45.97888697961735,0.9079240823900977
-36.90831136442488,-66.19579616374381,-41.974525451660156,41.92691285520696,0.7938788117364396
-50.99612904392737,-81.32265842731354,-55.436412899993186,36.74985566320804,0.7012724626895993
-64.71630829822615,-93.22435860489723,-68.64522490390512,32.420414442889864,0.6349916250206703
-78.33407687607576,-106.3825027275735,-81.76672576194586,28.21688152118176,0.5665003865264183
-87.70190549402619,-119.61725142569654,-90.89412565009539,26.238749694004163,0.528393731560818
-98.01884180487238,-128.32173504076118,-100.99041322220204,24.44574264223892,0.4923540901306064
-107.14679452904883,-140.97414460682816,-109.84963847315589,22.134884429297134,0.45882968154064446
-117.83186474668105,-147.23841209416932,-120.3569678373115,20.771545386771113,0.420238372198371
-124.65231915844977,-156.29187676186163,-127.15028665232104,20.47243979217329,0.4228199727313463
-133.39959792795497,-164.39215525888758,-135.69649754014125,18.889648013716272,0.3834643343160319
-139.06688302422384,-168.05981275419805,-141.29200070403343,18.280378282229616,0.37267852106759713
-146.7714558214062,-177.17871133446303,-148.91469556231831,17.63383926630494,0.3559848312721696
-153.7535068185806,-181.93311442556632,-155.81509434899618,16.937303759785014,0.34517271088999374
-159.56524009402648,-187.32584173134785,-161.5721708785656,16.530975838908535,0.3320437912331071
-165.53827388291057,-193.9266020048803,-167.43574169070223,15.632487474515951,0.3137200779693071
-170.19990558890368,-194.46843293896833,-172.08359687272892,15.507235018436706,0.3129013683213744
-175.19495135354964,-202.61543210128028,-177.0315186256586,15.115020481973081,0.3054438676944999
-180.96242455307694,-205.9556188390477,-182.7402957650118,14.667681228828839,0.2917313371286836
-184.3627312409217,-212.28173914340954,-186.06138859238735,14.073345412260036,0.27367316671582154
-189.02156303697,-217.72668331160867,-190.6747021342433,13.674382863842077,0.2681507031584895
-192.84465188853974,-223.0137279256631,-194.42872726085574,13.08798454254311,0.2588896827642308
-196.76839243680175,-220.2135262191964,-198.34191504190133,13.040091582402964,0.25372541747814004
-200.85579524027023,-227.92951297791947,-202.2915848133176,11.931293406067816,0.2287875420825426
-205.76015753803492,-231.5449660668416,-207.21650411916335,12.108285455644147,0.2307910853347113
-207.1448294880727,-235.05321795834857,-208.56037512490914,11.745816608292637,0.22640205781127132
-210.45624579638195,-237.24840583022893,-211.8378774953443,11.514172200919823,0.216777334726134
-212.59905074408863,-242.2144732962102,-213.96623265466025,11.4101540848635,0.21267912069032358
-216.44252201452903,-239.53495935896476,-217.72485316076944,10.749095006045483,0.19577295038589212
-219.51322031894242,-241.46372508866443,-220.77786929108376,10.58115848673055,0.19497553276461224
-221.1977515949733,-245.7681193124271,-222.3929092052371,10.010300913526889,0.18347688435122025
-225.23049616951502,-243.3693002816985,-226.4293695494186,10.088112322680649,0.17918014595674914
-225.6580353668182,-248.18365409219064,-226.82647563135902,9.836016478076111,0.17401710793722508
-228.55735648201966,-252.82278085738076,-229.72982113860374,9.87726390378135,0.174330482822518
-230.44838828072085,-253.07819059850598,-231.57401896631995,9.484789982885129,0.16792494630397753
-233.2297522820081,-257.9424697825966,-234.3257854372956,9.237053987252176,0.16205232330532962
-235.3616233227505,-258.8803192173233,-236.4360798680505,9.07593856622937,0.1576333146455676
-239.49214611602304,-262.07784229708614,-240.50727347440497,8.602377202415513,0.14714524409798688
-239.73167932968596,-258.3934896986217,-240.7530712748683,8.69086750296211,0.14383778669113337
-241.21474046439516,-259.0286088152526,-242.22291919796965,8.553704444983914,0.14467482632675835
-243.7047242600211,-266.72062691798885,-244.72524669558504,8.654998437729212,0.14640701250281446
-245.73564522345276,-264.24253035314354,-246.69927730116734,8.222831772380777,0.13401334698117057
-248.26035183852437,-271.6111629942601,-249.2046803319177,8.056062457380383,0.13138498954994735
-248.79025822318772,-267.83088842552064,-249.7018262286519,7.797331474753416,0.12546023362597755
-249.6934761381341,-270.14782114658846,-250.59933258766353,7.760331969300982,0.12314242228519084
-253.23874673089347,-275.3527402257907,-254.13295621650164,7.675682195033725,0.12023622629254363
-254.73117227405737,-275.8451302333058,-255.60344394417697,7.508866391134777,0.11505168381818505
-256.1764905046809,-277.77000595750695,-257.04690019474475,7.470938715060873,0.11685492687447127
-271.74670113336646,-299.28827386157195,-272.52517416310866,6.686773500844278,0.10325141684260479
-276.75484360954266,-299.9188217033874,-277.4718748580578,6.169114383291501,0.09513355358395466
-277.1846656003902,-297.8331544034644,-277.91786442246547,6.295149473657371,0.09806269234003023
-278.4160425956564,-301.62479934585497,-279.1229006745094,6.066205984124998,0.09558763355016708
-280.04744394044616,-302.238918222592,-280.7499325774437,6.055875448471934,0.0920272010356881
